"District","Organization Code","Grade","Count","%"
"State","=""0000000""","K","*","*"
"State","=""0000000""",01,212,0.6
"State","=""0000000""",02,314,0.8
"State","=""0000000""",03,647,1.7
"State","=""0000000""",04,895,2.3
"State","=""0000000""",05,1276,3.2
"State","=""0000000""",06,2272,5.6
"State","=""0000000""",07,3285,7.9
"State","=""0000000""",08,3400,8.2
"State","=""0000000""",09,4474,10.1
"State","=""0000000""",10,4022,9.6
"State","=""0000000""",11,3044,7.5
"State","=""0000000""",12,2762,6.5

